0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
0.012533 0.011835 0.007108 0.004186 0.004907 0.024829 0.00037 0.00895 0.000425 0.008946 0.011375 0.019323 0.01015 0.010685 0.003633 0.003874
0.012873 0.029696 0.026789 0.005554 0.005591 0.005793 0.027038 0.000648 0.014855 0.000676 0.014556 0.022104 0.037133 0.023095 0.024174 0.00549
0.006127 0.025991 0.061584 0.059127 0.008605 0.009306 0.009124 0.061392 0.001221 0.019707 0.001651 0.022054 0.05282 0.072523 0.058181 0.060392
0.009362 0.009035 0.060659 0.145137 0.147736 0.014676 0.017073 0.01502 0.116439 0.002669 0.035444 0.002667 0.032818 0.100975 0.131421 0.13149
0.135029 0.014052 0.01602 0.113465 0.343539 0.361632 0.024806 0.0266 0.025361 0.222225 0.00427 0.066263 0.004555 0.060414 0.198242 0.262835
0.349002 0.362345 0.025283 0.025406 0.224405 0.958958 1.03212 0.046182 0.048677 0.047385 0.438366 0.008521 0.135631 0.009122 0.117591 0.399443
0.511605 0.970603 1.02649 0.047427 0.050801 0.446748 2.67524 2.84378 0.089088 0.105105 0.09557 0.865277 0.017313 0.332202 0.019656 0.279546
0.795616 1.0834 2.66698 2.84536 0.090504 0.103626 0.879776 0.035535 0.023461 0.008605 0.005154 0.00987 0.04176 0.008473 0.029212 0.005163
0.02359 0.04135 0.056774 0.300845 0.185711 0.016876 0.012977 0.051654 0.025475 0.015912 0.008747 0.005972 0.005573 0.069157 0.006956 0.02893
0.003637 0.022344 0.077441 0.097259 0.115852 0.089758 0.020231 0.014877 0.094462 0.330194 0.07604 0.125407 0.199393 0.025536 1.24203 0.166915
0.403251 0.021454 0.078395 2.07239 2.40435 1.83622 0.440794 0.24178 0.042281 2.21437 0.290774 0.115141 0.060007 0.039918 0.024578 0.312315
0.053193 0.255883 0.019141 0.148264 0.323979 0.465344 1.88605 0.721932 0.136671 0.062121 0.373668 2.33663 1.23505 0.543132 0.318581 0.261217
